Date,btc,xrp,eth,ada
02/08/2020,11758.76465,0.289742,385.549866,0.143756
03/08/2020,11043.76856,0.28749,371.13385,0.133498
04/08/2020,11246.20313,0.309935,386.156464,0.137332
05/08/2020,11203.82324,0.300783,389.710815,0.143129
06/08/2020,11749.87109,0.303142,401.583862,0.142704
07/08/2020,11778.89453,0.303464,395.226868,0.14408
08/08/2020,11604.55371,0.294905,379.551575,0.139089
09/08/2020,11737.3252,0.294618,395.305237,0.146315
10/08/2020,11662.25684,0.288569,391.041504,0.145381
11/08/2020,11881.64746,0.294683,395.894714,0.143709
12/08/2020,11404.59668,0.284376,380.063812,0.137424
13/08/2020,11588.40527,0.28493,390.838104,0.137499
14/08/2020,11772.65918,0.297533,428.677277,0.141318
15/08/2020,11768.69727,0.300246,437.562988,0.138284
16/08/2020,11866.68555,0.299767,433.350586,0.138345
17/08/2020,11895.6582,0.303641,433.973755,0.138471
18/08/2020,12251.89551,0.314218,429.669617,0.140818
19/08/2020,11990.88477,0.303513,423.738586,0.137427
20/08/2020,11761.5,0.290301,406.758911,0.129309
21/08/2020,11878.02637,0.292468,416.148773,0.133536
22/08/2020,11585.47754,0.280635,389.031097,0.123747
23/08/2020,11679.69629,0.286358,395.562836,0.125151
24/08/2020,11663.68945,0.285278,391.678986,0.121581
25/08/2020,11773.58887,0.289044,408.071686,0.124525
26/08/2020,11366.89453,0.277693,383.977448,0.113347
27/08/2020,11485.6084,0.27736,386.609863,0.115258
28/08/2020,11325.2959,0.264658,382.629578,0.106875
29/08/2020,11541.05469,0.272009,395.687592,0.109474
30/08/2020,11508.71387,0.274568,399.616699,0.116668
31/08/2020,11713.30664,0.283065,428.509003,0.117493
01/09/2020,11679.31641,0.281612,434.874451,0.12261
02/09/2020,11964.82324,0.295612,477.007874,0.125477
03/09/2020,11407.19141,0.276636,440.23999,0.115538
04/09/2020,10230.36523,0.246726,384.671631,0.095987
05/09/2020,10512.53027,0.255808,388.038391,0.10239
06/09/2020,10167.2168,0.237692,335.334564,0.089923
07/09/2020,10280.99805,0.240812,353.450256,0.093072
08/09/2020,10369.30664,0.242029,353.202271,0.093237
